Time,Event,Severity,Source,Destination,Confidence
12:46:22,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:22,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:22,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:23,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:23,NEW_THREAT,Low,192.168.0.127,34.107.243.93,0.09
12:46:24,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:24,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:24,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:24,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:25,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:26,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:26,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:26,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:26,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:27,NEW_THREAT,Low,192.168.0.127,172.211.123.249,0.09
12:46:28,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:28,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:28,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:28,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:29,NEW_THREAT,Low,192.168.0.230,224.0.0.251,0.09
12:46:29,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:30,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:30,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:30,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:31,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:32,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:32,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:33,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:34,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:34,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:34,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:34,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:35,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:36,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:36,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:37,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:37,NEW_THREAT,Low,0.0.0.0,224.0.0.1,0.09
